Date of Application,Legal Name,Trade Name 2,App NO,Registration Number,Type of PIBO,Application Status
2022-03-23T18:51:34,PRV CONSUMER PRIVATE LIMITED,PRV CONSUMER PRIVATE LIMITED,4,20220323064,Brand Owner,In Progress
2022-05-27T12:37:36,Clues Network Private Limited,Clues Network Private Limited,1010,20220527061010,Brand Owner,In Progress
2022-03-24T19:46:21,ASCLEPIUS WELLNESS PRIVATE LIMITED,ASCLEPIUS WELLNESS PRIVATE LIMITED,15,202203240615,Brand Owner,In Progress
2022-04-04T12:59:18,Instakart Services Private Limited,Instakart Services Private Limited,54,202204040654,Brand Owner,In Progress
2022-04-22T15:37:23,Dalmia Cement Bharat Limited,Dalmia Cement Bharat Limited,295,2022042206295,Brand Owner,In Progress
2022-04-22T16:14:01,Adrak beverages,Adrak beverages,297,2022042206297,Brand Owner,In Progress
2022-04-12T14:25:09,Mozammil,Mozammil,131,2022041206131,Brand Owner,In Progress
2022-08-01T16:59:35,Saahas Zero Waste Private Limited,Saahas Zero Waste Private Limited,30,202208010630,Brand Owner,In Progress
2022-05-27T13:08:39,XYZ Private Limited,XYZ Private Limited,1023,20220527061023,Brand Owner,In Progress
2022-03-31T11:36:19,Hiveloop Technology Private Limited,Hiveloop Technology Private Limited,27,202203310627,Brand Owner,In Progress
2022-08-06T14:58:06,Graphic A Production and Sons,Graphic A Production and Sons,21,202208060621,Brand Owner,In Progress
2022-03-31T12:57:16,PALMY FOOD PRODUCTS PRIVATE LIMITED,PALMY FOOD PRODUCTS PRIVATE LIMITED,29,202203310629,Brand Owner,In Progress
2022-03-31T16:05:56,Chanakya Bakery Products Pvt Ltd,Chanakya Bakery Products Pvt Ltd,35,202203310635,Brand Owner,In Progress
2022-05-13T15:20:54,LENSKART SOLUTIONS PRIVATE LIMITED,LENSKART SOLUTIONS PRIVATE LIMITED,682,2022051306682,Brand Owner,In Progress
2022-07-27T13:08:54,GROZ ENGINEERING TOOLS PRIVATE LIMITED,GROZ ENGINEERING TOOLS PRIVATE LIMITED,391,2022072706391,Brand Owner,In Progress
2022-06-06T13:44:14,Haldiram Foods International Pvt Ltd,Haldiram Foods International Pvt Ltd,1399,20220606061399,Brand Owner,In Progress
2022-04-03T11:57:23,ACP,ACP,50,202204030650,Brand Owner,In Progress
2022-04-07T15:08:47,Alimento Agro Foods Private Limited,Alimento Agro Foods Private Limited,83,202204070683,Brand Owner,In Progress
2022-05-26T15:16:56,Liebherr Appliances India Private Limited,Liebherr Appliances India Private Limited,775,2022052606775,Brand Owner,In Progress
2022-08-30T18:16:57,KL Test Application,KL Test Application,78,202208300678,Brand Owner,In Progress
2022-07-15T15:56:16,J J FOODS PRIVATE LIMITED,J J FOODS PRIVATE LIMITED,2667,20220715062667,Brand Owner,In Progress
2022-04-07T19:55:16,ABCD,ABCD,91,202204070691,Brand Owner,In Progress
2022-07-24T11:25:09,AGRO Technologies India Pvt Ltd,AGRO Technologies India Pvt Ltd,125,2022072406125,Brand Owner,In Progress
2022-04-30T16:34:26,UMANG DAIRIES LTD,UMANG DAIRIES LTD,433,2022043006433,Brand Owner,In Progress
2022-06-17T14:52:23,MOTA CHIPS,MOTA CHIPS,1636,20220617061636,Brand Owner,In Progress
2022-05-25T15:13:44,AP ORGANICS LTD,AP ORGANICS LTD,200,2022052506200,Brand Owner,In Progress
2022-04-12T00:36:17,ABC Test,ABC Test,122,2022041206122,Brand Owner,In Progress
2022-04-13T15:23:08,VIAZ TUBES PVT LTD,VIAZ TUBES PVT LTD,153,2022041306153,Brand Owner,In Progress
2022-06-01T11:09:18,MOON BEVERAGES LTD,MOON BEVERAGES LTD,913,2022060106913,Brand Owner,In Progress
2022-04-14T10:38:45,DINSHAWS DAIRY FOODS PVT LTD,DINSHAWS DAIRY FOODS PVT LTD,159,2022041406159,Brand Owner,In Progress
2022-04-14T10:18:05,google,google,158,2022041406158,Brand Owner,In Progress
2022-07-04T14:18:12,ABDOS COSUMER CARE LTD,ABDOS COSUMER CARE LTD,199,2022070406199,Brand Owner,In Progress
2022-04-15T17:05:08,JAYSHRI GAYATRI FOOD PRODUCTS PVT LTD,JAYSHRI GAYATRI FOOD PRODUCTS PVT LTD,184,2022041506184,Brand Owner,In Progress
2022-04-17T17:33:50,KVG Agro Private Limited,KVG Agro Private Limited,195,2022041706195,Brand Owner,In Progress
2022-04-19T11:07:55,Grasim Industries Limited  Grasim Premium Fabric,Grasim Industries Limited  Grasim Premium Fabric,218,2022041906218,Brand Owner,In Progress
2022-04-22T10:34:50,AIMIL PHARMACEUTICALS (INDIA) LTD,AIMIL PHARMACEUTICALS (INDIA) LTD,283,2022042206283,Brand Owner,In Progress
2022-08-09T14:39:58,Brand Owner,Brand Owner,311,2022080906311,Brand Owner,In Progress
2022-04-23T10:58:49,tiajams,tiajams,313,2022042306313,Brand Owner,In Progress
2022-05-27T13:17:39,Recon Oil Industries Private Limited,Recon Oil Industries Private Limited,415,2022052706415,Brand Owner,In Progress
2022-08-24T11:51:48,Modern Dairies Limited,Modern Dairies Limited,430,2022082406430,Brand Owner,In Progress
2022-04-26T16:06:03,Idasa India Limited,Idasa India Limited,361,2022042606361,Brand Owner,In Progress
2022-05-28T11:49:21,Today Tea Limited,Today Tea Limited,873,2022052806873,Brand Owner,In Progress
2022-04-29T17:30:06,PARAMOUNT COSMETICS INDIA LIMITED,PARAMOUNT COSMETICS INDIA LIMITED,423,2022042906423,Brand Owner,In Progress
2022-06-07T16:21:15,Western India Sea Brine Private Limited,Western India Sea Brine Private Limited,1350,20220607061350,Brand Owner,In Progress
2022-05-02T14:15:55,Sarda Dairy And Food Products Limited,Sarda Dairy And Food Products Limited,441,2022050206441,Brand Owner,In Progress
2022-05-27T17:27:24,Xiaomi Technology India Private Limited,Xiaomi Technology India Private Limited,1484,20220527061484,Brand Owner,In Progress
2022-05-05T13:19:29,Indian Yamaha Motor Private Limited,Indian Yamaha Motor Private Limited,511,2022050506511,Brand Owner,In Progress
2022-08-04T15:17:26,Sigma Aldrich Chemicals Pvt Limited,Sigma Aldrich Chemicals Pvt Limited,880,2022080406880,Brand Owner,In Progress
2022-05-06T14:49:31,Bhagat Dhanadal Corporation,Bhagat Dhanadal Corporation,538,2022050606538,Brand Owner,In Progress
2022-05-06T15:24:16,BIKALAL FOODS,BIKALAL FOODS,541,2022050606541,Brand Owner,In Progress
2022-05-07T13:34:59,Windlas Biotech Limited   Plant1,Windlas Biotech Limited   Plant1,561,2022050706561,Brand Owner,In Progress
2022-05-07T16:31:48,Windlas Biotech Limited   Plant 3,Windlas Biotech Limited   Plant 3,570,2022050706570,Brand Owner,In Progress
2022-08-02T12:47:01,ASCLEPIUS WELLNESS PRIVATE LIMITED,ASCLEPIUS WELLNESS PRIVATE LIMITED,581,2022080206581,Brand Owner,In Progress
2022-05-09T12:57:19,XYZ ZYX,XYZ ZYX,582,2022050906582,Brand Owner,In Progress
2022-05-25T16:22:58,Harshita sharma,Harshita sharma,633,2022052506633,Brand Owner,In Progress
2022-07-29T13:23:21,PARASAKTI CEMENT INDUSTRIES LIMTED,PARASAKTI CEMENT INDUSTRIES LIMTED,596,2022072906596,Brand Owner,In Progress
2022-05-27T12:57:46,Appario Retail Private Limited,Appario Retail Private Limited,796,2022052706796,Brand Owner,In Progress
2022-07-04T11:40:02,C P Milk and Food Products Pvt Ltd,C P Milk and Food Products Pvt Ltd,1975,20220704061975,Brand Owner,In Progress
2022-05-10T16:02:46,NILKAMAL STORAGE SYSTEMS PVT LTD UNIT II,NILKAMAL STORAGE SYSTEMS PVT LTD UNIT II,607,2022051006607,Brand Owner,In Progress
2022-06-27T14:15:58,Ponni Sugars (Erode) Limited,Ponni Sugars (Erode) Limited,842,2022062706842,Brand Owner,In Progress
2022-05-10T19:13:07,ARB,ARB,613,2022051006613,Brand Owner,In Progress
2022-05-16T18:12:50,Sumax Engineering Pvt Ltd,Sumax Engineering Pvt Ltd,724,2022051606724,Brand Owner,In Progress
2022-05-13T10:40:40,GAJANAN AGRO FOODS PRIVATE LIMITED,GAJANAN AGRO FOODS PRIVATE LIMITED,674,2022051306674,Brand Owner,In Progress
2022-05-13T17:08:34,Rama Phosphates Limited,Rama Phosphates Limited,685,2022051306685,Brand Owner,In Progress
2022-05-27T12:32:32,AASTHA SALT INDUSTRIES PVT LTD,AASTHA SALT INDUSTRIES PVT LTD,824,2022052706824,Brand Owner,In Progress
2022-05-31T10:21:11,TATA UNISTORE LIMITED,TATA UNISTORE LIMITED,1108,20220531061108,Brand Owner,In Progress
2022-05-23T16:48:25,GHCL LIMITED,GHCL LIMITED,797,2022052306797,Brand Owner,In Progress
2022-08-02T16:57:28,Whitespread Foods Private Limited,Whitespread Foods Private Limited,1287,20220802061287,Brand Owner,In Progress
2022-05-31T16:50:45,EPSON INDIA PRIVATE LIMITED,EPSON INDIA PRIVATE LIMITED,966,2022053106966,Brand Owner,In Progress
2022-05-21T14:36:26,INDIA YAMAHA MOTOR PRIVATE LIMITED,INDIA YAMAHA MOTOR PRIVATE LIMITED,766,2022052106766,Brand Owner,In Progress
2022-05-25T13:24:18,BAULI INDIA BAKES AND SWEETS PRIVATE LIMITED,BAULI INDIA BAKES AND SWEETS PRIVATE LIMITED,858,2022052506858,Brand Owner,In Progress
2022-05-31T09:40:01,Milky Mist Dairy Food Private Limited,Milky Mist Dairy Food Private Limited,896,2022053106896,Brand Owner,In Progress
2022-05-28T18:33:19,INDIA YAMAHA MOTOR PRIVATE LIMITED,INDIA YAMAHA MOTOR PRIVATE LIMITED,908,2022052806908,Brand Owner,In Progress
2022-06-06T18:29:23,QUICK EATS PRIVATE LIMITED,QUICK EATS PRIVATE LIMITED,931,2022060606931,Brand Owner,In Progress
2022-05-30T11:28:11,Uttam Sugar Mills Ltd,Uttam Sugar Mills Ltd,1017,20220530061017,Brand Owner,In Progress
2022-05-28T12:51:37,India Yamaha Motors Private Limited,India Yamaha Motors Private Limited,1046,20220528061046,Brand Owner,In Progress
2022-05-31T11:51:31,Uttam Sugar Mills Ltd,Uttam Sugar Mills Ltd,1094,20220531061094,Brand Owner,In Progress
2022-06-02T15:26:15,SAYEGH PAINT FACTORIES INDIA PRIVATE LIMITED,SAYEGH PAINT FACTORIES INDIA PRIVATE LIMITED,1143,20220602061143,Brand Owner,In Progress
2022-06-02T15:30:35,Surya Fresh Foods Limited,Surya Fresh Foods Limited,1200,20220602061200,Brand Owner,In Progress
2022-06-01T18:24:14,Sun Consultants,Sun Consultants,1222,20220601061222,Brand Owner,In Progress
2022-06-02T16:08:42,SK Lubricants & Oils India Pvt Ltd.,SK Lubricants & Oils India Pvt Ltd.,1269,20220602061269,Brand Owner,In Progress
2022-06-08T17:43:46,Dev Milk Foods Private Limited,Dev Milk Foods Private Limited,1465,20220608061465,Brand Owner,In Progress
2022-06-08T16:17:58,LAL SWEETS PRIVATE LIMITED,LAL SWEETS PRIVATE LIMITED,1472,20220608061472,Brand Owner,In Progress
2022-06-09T16:02:50,TRDP Happy World Pvt. Ltd.,TRDP Happy World Pvt. Ltd.,1498,20220609061498,Brand Owner,In Progress
2022-06-14T12:40:01,ESSEL KITCHENWARE LIMITED,ESSEL KITCHENWARE LIMITED,1503,20220614061503,Brand Owner,In Progress
2022-06-13T15:11:18,ESSEL THERMOWARE PRIVATE LIMITED,ESSEL THERMOWARE PRIVATE LIMITED,1520,20220613061520,Brand Owner,In Progress
2022-06-17T11:15:09,Simbhaoli Sugars Limited,Simbhaoli Sugars Limited,1560,20220617061560,Brand Owner,In Progress
2022-06-12T23:00:47,SHIMA,SHIMA,1584,20220612061584,Brand Owner,In Progress
2022-06-17T14:43:13,Mead Johnson Nutrition (India) Private Limited,Mead Johnson Nutrition (India) Private Limited,1691,20220617061691,Brand Owner,In Progress
2022-06-29T12:00:35,JAYKAYCEM CENTRAL LIMITED,JAYKAYCEM CENTRAL LIMITED,2121,20220629062121,Brand Owner,In Progress
2022-06-14T14:28:09,test,test,1638,20220614061638,Brand Owner,In Progress
2022-06-15T16:50:59,FRESH FOOD AGRO INDUSTRIES,FRESH FOOD AGRO INDUSTRIES,1684,20220615061684,Brand Owner,In Progress
2022-07-14T17:20:18,ENCORE HEALTHCARE PVT LTD,ENCORE HEALTHCARE PVT LTD,1719,20220714061719,Brand Owner,In Progress
2022-07-19T15:24:12,Green Valliey Industries Limited,Green Valliey Industries Limited,1858,20220719061858,Brand Owner,In Progress
2022-06-17T12:33:09,Godrej Industries Limited (Chemical Division),Godrej Industries Limited (Chemical Division),1726,20220617061726,Brand Owner,In Progress
2022-06-24T17:45:40,Manjilas Food Tech Pvt Ltd,Manjilas Food Tech Pvt Ltd,1791,20220624061791,Brand Owner,In Progress
2022-06-17T17:07:01,VST INDUSTRIES LIMITED,VST INDUSTRIES LIMITED,1744,20220617061744,Brand Owner,In Progress
2022-07-06T18:05:45,Triguni Food Private Limited,Triguni Food Private Limited,2408,20220706062408,Brand Owner,In Progress
2022-06-20T17:31:42,ASHOKA INDUSTRIES,ASHOKA INDUSTRIES,1778,20220620061778,Brand Owner,In Progress
2022-08-08T18:34:05,Wipro Enterprises Private Limited,Wipro Enterprises Private Limited,1800,20220808061800,Brand Owner,In Progress
2022-06-21T14:30:28,Fresh and Honest Cafe Limited,Fresh and Honest Cafe Limited,1818,20220621061818,Brand Owner,In Progress
2022-07-04T11:37:45,Creamy Foods Limited,Creamy Foods Limited,1842,20220704061842,Brand Owner,In Progress
2022-08-17T11:52:46,Diamond Valley Gardens Pvt Ltd,Diamond Valley Gardens Pvt Ltd,1940,20220817061940,Brand Owner,In Progress
2022-06-24T13:37:09,Befach,Befach,1936,20220624061936,Brand Owner,In Progress
2022-06-23T22:17:08,HIMANI CHEMTECH,HIMANI CHEMTECH,1931,20220623061931,Brand Owner,In Progress
2022-07-28T16:38:13,Oracle Polyplast,Oracle Polyplast,3463,20220728063463,Brand Owner,In Progress
2022-06-27T12:27:34,Vegolution India Pvt Ltd,Vegolution India Pvt Ltd,2016,20220627062016,Brand Owner,In Progress
2022-07-29T18:53:07,Epic Drugs,Epic Drugs,3619,20220729063619,Brand Owner,In Progress
2022-06-27T17:34:55,Red Bull India Private Limited,Red Bull India Private Limited,2042,20220627062042,Brand Owner,In Progress
2022-08-04T16:12:55,CEAT LTD,CEAT LTD,2499,20220804062499,Brand Owner,In Progress
2022-07-01T12:19:46,COFFEE DAY GLOBAL LIMITED,COFFEE DAY GLOBAL LIMITED,2259,20220701062259,Brand Owner,In Progress
